<<<<<<< HEAD
id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome,region
adventist-discovery-park,Adventist DISCovery Park,Opelika,Lee County,"Lee County, AL",AL,USA,3,,32.6454116,-85.3782795,36804,262.185,8240,417346,50648.78641,58963.0,southeast
agricultural-heritage-park,Agricultural Heritage Park,Auburn,Lee County,"Lee County, AL",AL,USA,9,,32.5944595,-85.4923344,36830,262.185,16600,1485585,89493.07229,58963.0,southeast
halawaka-park,Halawaka Park,Salem,Lee County,"Lee County, AL",AL,USA,18,3.0,32.5968028,-85.2385527,36874,262.185,3660,219136,59873.22404,58963.0,southeast
smiths-station-disc-golf-course,Smiths Station Disc Golf Course,Smiths Station,Lee County,"Lee County, AL",AL,USA,18,,32.521925800000005,-85.1178105,36877,262.185,5060,280151,55365.81028,58963.0,southeast
tumble-tree-disc-golf-course,Tumble Tree Disc Golf Course,Opelika,Lee County,"Lee County, AL",AL,USA,18,4.0,32.6751084,-85.34950450000001,36801,262.185,9790,559225,57122.06333,58963.0,southeast
agape-disc-golf-course,Agape Disc Golf Course,Scottsboro,Jackson County,"Jackson County, AL",AL,USA,9,,34.6228192,-86.0806919,35769,48.331,4170,316625,75929.25659,46606.0,southeast
aggieland-disc-golf,Aggieland Disc Golf,Hamilton,Marion County,"Marion County, AL",AL,USA,18,,34.1423235,-87.98864379999999,35570,40.368,3930,174684,44448.85496,44333.0,southeast
ivan-k-hill-park,Ivan K. Hill Disc Golf Course ,Winfield,Marion County,"Marion County, AL",AL,USA,18,5.0,33.9362633,-87.8084416,35594,40.368,2880,150392,52219.44444,44333.0,southeast
arab-city-park-844-shoal-creek-trail-35016,Arab City Park,Arab,Marshall County,"Marshall County, AL",AL,USA,18,,34.31783529999999,-86.48182779999999,35016,168.148,7210,385033,53402.63523,51417.0,southeast
kudzu-cove-disc-golf-course,Kudzu Cove Disc Golf Course,Guntersville,Marshall County,"Marshall County, AL",AL,USA,18,,34.407129600000005,-86.2493598,35976,168.148,7080,482190,68105.9322,51417.0,southeast
lifepoint-disc-golf-course,Lifepoint Disc Golf Course,Albertville,Marshall County,"Marshall County, AL",AL,USA,9,,34.283414,-86.2286646,35950,168.148,8600,360905,41965.69767,51417.0,southeast
new-hope-city-park-disc-golf-course,New Hope City Park Disc Golf Course,New Hope,Marshall County,"Marshall County, AL",AL,USA,18,,34.320680100000004,-86.48116590000001,35760,168.148,2110,112390,53265.40284,51417.0,southeast
asbury-umc-disc-golf-course,Asbury UMC Disc Golf Course,Madison,Madison County,"Madison County, AL",AL,USA,9,,34.7345,-86.703071,35758,446.062,21560,2066909,95867.76438,67810.0,southeast
dublin-park,Dublin Park,Madison,Madison County,"Madison County, AL",AL,USA,9,2.0,34.709354600000005,-86.73516590000001,35758,446.062,21560,2066909,95867.76438,67810.0,southeast
brahan-springs-park,Brahan Springs Park,Huntsville,Madison County,"Madison County, AL",AL,USA,18,3.0,34.7053182,-86.6003214,35805,446.062,7820,218090,27888.7468,67810.0,southeast
calhoun-huntsville-campus-disc-golf-course,Calhoun Huntsville Campus Disc Golf Course,Huntsville,Madison County,"Madison County, AL",AL,USA,6,,34.6824569,-86.6387445,35805,446.062,7820,218090,27888.7468,67810.0,southeast
drake-springs,Drake Springs,Huntsville,Madison County,"Madison County, AL",AL,USA,9,,34.7053182,-86.6003214,35805,446.062,7820,218090,27888.7468,67810.0,southeast
mirabeau-apartments,Mirabeau Apartments,Huntsville,Madison County,"Madison County, AL",AL,USA,9,,34.71293,-86.5957977,35805,446.062,7820,218090,27888.7468,67810.0,southeast
univ-ala-huntsville-uah,Univ. of Ala. Huntsville (UAH),Huntsville,Madison County,"Madison County, AL",AL,USA,18,,34.725130799999995,-86.63989509999999,35805,446.062,7820,218090,27888.7468,67810.0,southeast
